,Survived,Pclass,Age,SibSp,Parch,male,Q,S
0,0,3,-0.5122505165142026,1,0,1,0,1
4,0,3,0.39981436179518437,0,0,1,0,1
6,0,1,1.73283226086275,0,0,1,0,1
7,0,3,-1.915427252374798,3,1,1,0,1
12,0,3,-0.6525681901002621,0,0,1,0,1
13,0,3,0.6804497089673034,1,5,1,0,1
14,0,3,-1.0735212108584407,0,0,0,0,1
16,0,3,-1.915427252374798,4,1,1,1,0
18,0,3,0.11917901462306531,1,0,0,0,1
20,0,2,0.39981436179518437,0,0,1,0,1
24,0,3,-1.4944742316166193,3,1,0,0,1
27,0,1,-0.7227270268932918,3,2,1,0,1
30,0,1,0.7506085457603332,0,0,1,0,0
33,0,2,2.574738302379107,0,0,1,0,1
34,0,1,-0.09129749575602399,1,0,1,0,0
35,0,1,0.8909262193463927,1,0,1,0,1
37,0,3,-0.5824093533072323,0,0,1,0,1
38,0,3,-0.7928858636863216,2,0,0,0,1
40,0,3,0.7506085457603332,1,0,0,0,1
41,0,2,-0.16145633254905373,1,0,0,0,1
49,0,3,-0.7928858636863216,1,0,0,0,1
50,0,3,-1.564633068409649,4,1,1,0,1
51,0,3,-0.5824093533072323,0,0,1,0,1
54,0,1,2.5045794655860774,0,1,1,0,0
57,0,3,-0.056218077359509094,0,0,1,0,0
59,0,3,-1.28399772123753,5,2,1,0,1
60,0,3,-0.5122505165142026,0,0,1,0,0
62,0,1,1.101402729725482,1,0,1,0,1
63,0,3,-1.7751095787887383,3,2,1,0,1
67,0,3,-0.7227270268932918,0,0,1,0,1
69,0,3,-0.2316151693420835,2,0,1,0,1
70,0,2,0.18933785141609508,0,0,1,0,1
71,0,3,-0.9332035372723811,5,2,0,0,1
72,0,2,-0.5824093533072323,0,0,1,0,1
73,0,3,-0.2316151693420835,1,0,1,0,0
75,0,3,-0.3017740061351133,0,0,1,0,1
80,0,3,-0.5122505165142026,0,0,1,0,1
83,0,1,-0.09129749575602399,0,0,1,0,1
86,0,3,-0.9332035372723811,1,3,1,0,1
89,0,3,-0.37193284292814305,0,0,1,0,1
90,0,3,-0.021138658962994217,0,0,1,0,1
91,0,3,-0.6525681901002621,0,0,1,0,1
92,0,1,1.1715615665185117,1,0,1,0,1
93,0,3,-0.2316151693420835,1,2,1,0,1
94,0,3,2.0836264448278987,0,0,1,0,1
96,0,1,2.925532486344256,0,0,1,0,0
99,0,2,0.3296555250021546,1,0,1,0,1
100,0,3,-0.09129749575602399,0,0,0,0,1
102,0,1,-0.5824093533072323,0,1,1,0,1
103,0,3,0.25949668820912486,0,0,1,0,1
104,0,3,0.5401320353812439,2,0,1,0,1
105,0,3,-0.09129749575602399,0,0,1,0,1
108,0,3,0.6102908721742737,0,0,1,0,1
110,0,1,1.2417204033115417,0,0,1,0,1
111,0,3,-1.0384417924619258,1,0,0,0,0
112,0,3,-0.5122505165142026,0,0,1,0,1
113,0,3,-0.6525681901002621,1,0,0,0,1
114,0,3,-0.8630447004793513,0,0,0,0,0
115,0,3,-0.5824093533072323,0,0,1,0,1
116,0,3,2.890453067947741,0,0,1,1,0
117,0,2,-0.021138658962994217,1,0,1,0,1
118,0,1,-0.37193284292814305,0,1,1,0,0
119,0,3,-1.915427252374798,4,2,0,0,1
120,0,2,-0.5824093533072323,2,0,1,0,1
122,0,2,0.22441726981260995,1,0,1,0,0
124,0,1,1.73283226086275,0,1,1,0,1
129,0,3,1.101402729725482,0,0,1,0,1
130,0,3,0.25949668820912486,0,0,1,0,0
131,0,3,-0.6525681901002621,0,0,1,0,1
132,0,3,1.2417204033115417,1,0,0,0,1
134,0,2,-0.3017740061351133,0,0,1,0,1
135,0,2,-0.4420916797211728,0,0,1,0,0
137,0,1,0.5401320353812439,1,0,1,0,1
138,0,3,-0.9332035372723811,0,0,1,0,1
139,0,1,-0.37193284292814305,0,0,1,0,0
143,0,3,-0.7227270268932918,0,0,1,1,0
144,0,2,-0.7928858636863216,0,0,1,0,1
145,0,2,-0.7227270268932918,1,1,1,0,1
